Time [s],Rank 1,Rank 0
0.0,1.0,1.0
4.059e-06,,1.0
1.9104e-05,1.0,
0.016833983,,0.808349527105341
0.017546237,0.808349527105341,
0.037913877,,0.778130927697817
0.039755698,0.778130927697817,
0.05538796,0.767238831134525,
0.055482953,,0.767238831134525
0.0739821,0.759947632601443,
0.073999993,,0.759947632601443
0.090271359,,0.753284886821757
0.091449896,0.753284886821757,
0.109172735,,0.746578416061908
0.109184277,0.746578416061908,
0.126426585,,0.739349563762129
0.127227869,0.739349563762129,
0.141714123,0.731536436577477,
0.141726302,,0.731536436577477
0.161915582,0.723237175676653,
0.162489136,,0.723237175676653
0.177225632,0.714375342066564,
0.17723141,,0.714375342066564
0.193996505,0.705167216047694,
0.194115458,,0.705167216047694
0.21344923,0.69560199586485,
0.213475841,,0.69560199586485
0.232737658,0.685658626782969,
0.232829167,,0.685658626782969
0.25195524,,0.675413660092848
0.252069074,0.675413660092848,
0.266905003,0.664720352641106,
0.266981498,,0.664720352641106
0.282247729,,0.653603845324619
0.282995179,0.653603845324619,
0.29716691,,0.64213063536414
0.297212274,0.64213063536414,
0.316510433,0.630259002534435,
0.318924897,,0.630259002534435
0.336586604,0.618080290125628,
0.336655104,,0.618080290125628
0.355463113,0.605490274268273,
0.355485656,,0.605490274268273
0.37530744,0.592572535021227,
0.375634776,,0.592572535021227
0.395820787,0.579445278555242,
0.395891374,,0.579445278555242
0.41636011,,0.566037126946833
0.416383368,0.566037126946833,
0.437339664,0.552379362362469,
0.446146122,,0.552379362362469
0.468505213,,0.538433305202256
0.468539128,0.538433305202256,
0.482817062,0.524297470355622,
0.482894453,,0.524297470355622
0.49897757,0.51003245942699,
0.499097793,,0.51003245942699
0.516141218,,0.495558606154507
0.516203039,0.495558606154507,
0.533626504,0.481030871202568,
0.535717619,,0.481030871202568
0.555249005,,0.466466584761437
0.556292756,0.466466584761437,
0.574919771,0.451916701308472,
0.576387204,,0.451916701308472
0.592937423,,0.437422158719607
0.594155989,0.437422158719607,
0.607626434,,0.422991201640729
0.607656233,0.422991201640729,
0.625003738,,0.408653057871598
0.625092407,0.408653057871598,
0.640975376,0.394438798720855,
0.641087943,,0.394438798720855
0.657108731,0.380444710480546,
0.657136536,,0.380444710480546
0.672447969,0.366654937394297,
0.672481248,,0.366654937394297
0.69122051,,0.353002937242893
0.692083405,0.353002937242893,
0.711232464,,0.339554682248942
0.711235188,0.339554682248942,
0.726287177,,0.326395500131016
0.726332338,0.326395500131016,
0.744257427,,0.313526014963695
0.744297399,0.313526014963695,
0.759250789,0.300949164215099,
0.76005852,,0.300949164215099
0.778149268,0.288661810394543,
0.778187937,,0.288661810394543
0.797263274,0.276673611274405,
0.799181783,,0.276673611274405
0.817528371,,0.265030995916064
0.817534163,0.265030995916064,
0.836861992,,0.25374968935614
0.838446248,0.25374968935614,
0.85878364,0.242861936370866,
0.860697334,,0.242861936370866
0.881718564,,0.232359024617391
0.882979453,0.232359024617391,
0.905570853,0.222217312466246,
0.906261867,,0.222217312466246
0.922851767,,0.212441678046151
0.923631434,0.212441678046151,
0.943259393,0.203033395349292,
0.945280188,,0.203033395349292
0.965344563,,0.193969820964382
0.966730458,0.193969820964382,
0.985481248,0.185214748140949,
0.985495006,,0.185214748140949
1.00413511,,0.176766350920517
1.004200355,0.176766350920517,
1.024153198,,0.16865458352948
1.025383163,0.16865458352948,
1.043121733,0.160869418116272,
1.043927574,,0.160869418116272
1.062529746,0.153394531298712,
1.063315751,,0.153394531298712
1.077731457,0.146206295775073,
1.077755287,,0.146206295775073
1.093297193,,0.139284474316538
1.093317001,0.139284474316538,
1.112985732,,0.132659778627853
1.115541346,0.132659778627853,
1.131730016,,0.126321548186215
1.131761371,0.126321548186215,
1.145650581,0.120264921466031,
1.146548004,,0.120264921466031
1.161184727,0.114448918713948,
1.161186258,,0.114448918713948
1.179115068,0.10885869524141,
1.180932259,,0.10885869524141
1.197713337,0.103525676422211,
1.197720696,,0.103525676422211
1.212477671,0.0984214029196196,
1.212518458,,0.0984214029196196
1.232599311,,0.093522910013112
1.232674109,0.093522910013112,
1.249212785,,0.0888291183862575
1.249297402,0.0888291183862575,
1.264531156,0.0843229114042416,
1.264555131,,0.0843229114042416
1.281829613,0.0799784066434149,
1.281931403,,0.0799784066434149
1.30181273,0.0758016325083228,
1.3018492,,0.0758016325083228
1.317259974,,0.0718080484512753
1.317301732,0.0718080484512753,
1.337375336,,0.0679953458097168
1.338279778,0.0679953458097168,
1.354563254,,0.0643363692615844
1.354565434,0.0643363692615844,
1.369759824,,0.0608179059287621
1.369764599,0.0608179059287621,
1.384917939,0.0574230715785004,
1.384940007,,0.0574230715785004
1.404500791,,0.0541601413663669
1.406270587,0.0541601413663669,
1.425566723,0.0510195536251116,
1.427121736,,0.0510195536251116
1.445459633,,0.0479930399937996
1.445477743,0.0479930399937996,
1.465233368,,0.0450770434508235
1.465257923,0.0450770434508235,
1.488359246,0.0422606303270786,
1.4890381,,0.0422606303270786
1.506196961,,0.0395249039621926
1.506252482,0.0395249039621926,
1.523362598,,0.0368700359130658
1.525643175,0.0368700359130658,
1.546192866,0.0343007502000299,
1.548001361,,0.0343007502000299
1.567361634,,0.0317917264852656
1.569799132,0.0317917264852656,
1.587887928,0.0292799871731377,
1.587935863,,0.0292799871731377
1.608105234,0.0266767020372989,
1.608837958,,0.0266767020372989
1.622897462,0.0238811121665433,
1.623031608,,0.0238811121665433
1.637166602,,0.0207785622313301
1.637227396,0.0207785622313301,
1.652283499,,0.0173255703173336
1.652314844,0.0173255703173336,
1.6718893,0.0137056833873255,
1.678260746,,0.0137056833873255
1.698510478,,0.0104746304622564
1.699480999,0.0104746304622564,
1.719695669,0.00822514650780996,
1.721843653,,0.00822514650780996
1.739456289,,0.00698658109600778
1.739532489,0.00698658109600778,
1.757670889,0.00636102170669178,
1.757671674,,0.00636102170669178
1.77389343,0.00600194115586304,
1.773992334,,0.00600194115586304
1.789227884,,0.00573174969975392
1.789268269,0.00573174969975392,
1.802685983,0.00546866931936455,
1.802751941,,0.00546866931936455
1.822750314,,0.00518500698609195
1.824563721,0.00518500698609195,
1.843225606,0.00489639505512342,
1.84324923,,0.00489639505512342
1.861629006,0.00462743820398257,
1.861677385,,0.00462743820398257
1.881205033,,0.00437468425128034
1.881961036,0.00437468425128034,
1.898920312,0.00412343683642637,
1.900920274,,0.00412343683642637
1.915735076,0.0038715771334084,
1.91584591,,0.0038715771334084
1.936132787,,0.00363246230401875
1.936481379,0.00363246230401875,
1.958379724,0.003409997514636,
1.961165659,,0.003409997514636
1.979541002,,0.00319397053756752
1.97956153,0.00319397053756752,
1.995089993,0.00298027861372509,
1.995112767,,0.00298027861372509
2.016594387,,0.00277635277070578
2.020286619,0.00277635277070578,
2.037516789,0.00258581381561507,
2.037601052,,0.00258581381561507
2.053576577,,0.00240408788789207
2.053606624,0.00240408788789207,
2.073687656,0.00222906757474265,
2.076708068,,0.00222906757474265
2.093282883,,0.00206473318623726
2.093324736,0.00206473318623726,
2.111439302,0.00191142861780061,
2.111477681,,0.00191142861780061
2.129288293,,0.00176549035736915
2.12932056,0.00176549035736915,
2.147857528,0.00162758351886496,
2.147967527,,0.00162758351886496
2.162469321,0.00150079056852064,
2.162528964,,0.00150079056852064
2.182237028,,0.00138435307875503
2.183567163,0.00138435307875503,
2.202808252,0.0012756626373403,
2.20287751,,0.0012756626373403
2.219534184,,0.00117535966817563
2.222711615,0.00117535966817563,
2.238872313,0.00108427627928677,
2.238940944,,0.00108427627928677
2.25746084,,0.00100084500750205
2.258123013,0.00100084500750205,
2.273507735,0.000924510317623353,
2.273511739,,0.000924510317623353
2.28660786,,0.000856106241876599
2.286611146,0.000856106241876599,
2.30775547,,0.000794796475017998
2.307769999,0.000794796475017998,
2.328234223,0.000739285605948365,
2.328247691,,0.000739285605948365
2.342774632,0.000689037745990468,
2.342863713,,0.000689037745990468
2.362756345,0.000643007866342213,
2.362869343,,0.000643007866342213
2.383148051,,0.000599822823557381
2.383194348,0.000599822823557381,
2.400493793,,0.000558833340685884
2.400509073,0.000558833340685884,
2.421202785,0.000519933190865032,
2.422413472,,0.000519933190865032
2.441839135,,0.000482992938549641
2.444680505,0.000482992938549641,
2.46083096,0.000448124773395892,
2.460898354,,0.000448124773395892
2.481860996,0.000415549906082072,
2.482920169,,0.000415549906082072
2.499139676,,0.000385034029243123
2.499185413,0.000385034029243123,
2.518554767,0.000356784414100063,
2.518560418,,0.000356784414100063
2.533485985,0.000330982475879761,
2.533496107,,0.000330982475879761
2.54812516,,0.000307281768668629
2.548138391,0.000307281768668629,
2.568400249,0.000285429325676567,
2.56950707,,0.000285429325676567
2.587718826,,0.000265546552608377
2.588104454,0.000265546552608377,
2.602902155,0.000247597182322124,
2.602991051,,0.000247597182322124
2.622266598,,0.000231348982683953
2.622300325,0.000231348982683953,
2.641363093,0.00021684418672472,
2.643311883,,0.00021684418672472
2.661708363,0.000204029062900475,
2.661724482,,0.000204029062900475
2.680343246,0.000192716887347317,
2.681089887,,0.000192716887347317
2.694882592,0.000182784771417277,
2.694955,,0.000182784771417277
2.713711803,0.0001740928624992,
2.713723699,,0.0001740928624992
2.728828077,0.000166530126241239,
2.72892051,,0.000166530126241239
2.747969676,0.000159997607908887,
2.750307732,,0.000159997607908887
2.76568365,0.000154357534991521,
2.765700575,,0.000154357534991521
2.784746563,,0.000149479090488751
2.786622566,0.000149479090488751,
2.803210057,0.000145303597135004,
2.803221727,,0.000145303597135004
2.821511493,,0.00014174387210455
2.821533593,0.00014174387210455,
2.840443529,,0.000138699275730011
2.840450536,0.000138699275730011,
2.855959323,0.000136110576218628,
2.856721591,,0.000136110576218628
2.872801049,0.000133899490995913,
2.875612913,,0.000133899490995913
2.88968829,0.00013200522079571,
2.889689303,,0.00013200522079571
2.907130174,,0.000130370247363455
2.90790511,0.000130370247363455,
2.927519959,0.000128942959949044,
2.92754234,,0.000128942959949044
2.946329602,,0.000127676351129407
2.947271573,0.000127676351129407,
2.963336263,,0.000126540038654322
2.963343066,0.000126540038654322,
2.983667578,0.00012551990003426,
2.984576206,,0.00012551990003426
3.004225955,,0.000124592591387665
3.006799312,0.000124592591387665,
3.0223154,,0.000123743598890432
3.022387643,0.000123743598890432,
3.039114592,,0.000122959354234631
3.039139121,0.000122959354234631,
3.054415734,,0.000122225253496129
3.054448529,0.000122225253496129,
3.070524375,,0.000121530908851017
3.071300689,0.000121530908851017,
3.08626577,,0.000120865336200048
3.086350941,0.000120865336200048,
3.101366901,,0.000120217041643613
3.101412129,0.000120217041643613,
3.119727186,0.000119575460729569,
3.119728462,,0.000119575460729569
3.139285464,0.000118924355333501,
3.13928599,,0.000118924355333501
3.161197049,0.000118239967919275,
3.162284013,,0.000118239967919275
3.179733737,0.000117499250171687,
3.179752397,,0.000117499250171687
3.198345893,,0.000116667517058983
3.199707291,0.000116667517058983,
3.218492671,0.000115698553748766,
3.218509677,,0.000115698553748766
3.233367998,,0.000114533599777365
3.233372501,0.000114533599777365,
3.251297083,,0.000113103360689262
3.25138902,0.000113103360689262,
3.267761073,,0.000111339918857218
3.267773273,0.000111339918857218,
3.28715251,0.00010923827631546,
3.287861171,,0.00010923827631546
3.305486647,,0.000106878375279866
3.307315861,0.000106878375279866,
3.32409626,,0.000104420386701517
3.324139696,0.000104420386701517,
3.34222703,,0.000101997398006029
3.342261207,0.000101997398006029,
3.362107591,,9.95842922054821e-05
3.362164109,9.95842922054821e-05,
